word,syllable1,syllable2
cabrão,ca,brão
cabre,ca,bre
cabril,ca,bril
cabril,ca,bril
cabrim,ca,brim
cabro,ca,bro
cabroz,ca,broz
cabrum,ca,brum
caça,ca,ça
caca,ca,ca
caça,ca,ça
cação,ca,ção
caçar,ca,çar
cacau,ca,cau
cacha,ca,cha
cachão,ca,chão
cachar,ca,char
cache,ca,che
cache,ca,che
cachê,ca,chê
caché,ca,ché
cachet,ca,chet
cachir,ca,chir
cacho,ca,cho
cachu,ca,chu
cacim,ca,cim
caciz,ca,ciz
caco,ca,co
caço,ca,ço
cacre,ca,cre
cacto,cac,to
cacto,cac,to
cácu,cá,cu
cada,ca,da
caddie,cad,die
caddy,cad,dy
cade,ca,de
cadê,ca,dê
cádi,cá,di
cadmeu,cad,meu
cado,ca,do
cadoz,ca,doz
cafal,ca,fal
café,ca,fé
cafiz,ca,fiz
cafral,ca,fral
cafre,ca,fre
cafre,ca,fre
cafre,ca,fre
cáften,cáf,ten
cafuz,ca,fuz
cafuz,ca,fuz
cafuz,ca,fuz
cagão,ca,gão
cagão,ca,gão
cagar,ca,gar
caí,ca,í
caiar,cai,ar
cãiba,cãi,ba
cãibal,cãi,bal
cãibas,cãi,bas
cãibo,cãi,bo
cãibra,cãi,bra
caibral,cai,bral
caibrar,cai,brar
caibro,cai,bro
caiçá,cai,çá
caicai,cai,cai
caiçu,cai,çu
caide,cai,de
caidor,cai,dor
caifás,cai,fás
caiguá,cai,guá
caim,ca,im
caimal,cai,mal
caimão,cai,mão
caimão,cai,mão
caio,cai,o
cair,ca,ir
cairel,cai,rel
cairi,cai,ri
cairo,cai,ro
caité,cai,té
caixa,cai,xa
caixa,cai,xa
caixa de ar,cai,xa dear
caixa de ar,cai,xa dear
caixão,cai,xão
cajá,ca,já
cajo,ca,jo
caju,ca,ju
cala,ca,la
cala,ca,la
calão,ca,lão
calão,ca,lão
calar,ca,lar
calau,ca,lau
calça,cal,ça
calção,cal,ção
calcão,cal,cão
calçar,cal,çar
calcar,cal,car
calças,cal,ças
calce,cal,ce
calcês,cal,cês
calço,cal,ço
calco,cal,co
calções,cal,ções
calda,cal,da
caldar,cal,dar
caldas,cal,das
caldeu,cal,deu
caldeu,cal,deu
caldo,cal,do
caldo,cal,do
cale,ca,le
calei,ca,lei
calfe,cal,fe
calha,ca,lha
calha,ca,lha
calhão,ca,lhão
calhar,ca,lhar
calhau,ca,lhau
calhe,ca,lhe
cáli,cá,li
calim,ca,lim
cálix,cá,lix
caliz,ca,liz
calmã,cal,mã
calma,cal,ma
calmão,cal,mão
calmão,cal,mão
calmar,cal,mar
calmar,cal,mar
calmo,cal,mo
calo,ca,lo
calô,ca,lô
caló,ca,ló
calor,ca,lor
calpa,cal,pa
cálpar,cál,par
calque,cal,que
calta,cal,ta
cálu,cá,lu
calva,cal,va
calvar,cal,var
calvez,cal,vez
calvo,cal,vo
calvo,cal,vo
cama,ca,ma
camal,ca,mal
camão,ca,mão
camar,ca,mar
camau,ca,mau
camba,cam,ba
camba,cam,ba
cambal,cam,bal
cambão,cam,bão
cambar,cam,bar
cambau,cam,bau
cambaz,cam,baz
camber,cam,ber
cambo,cam,bo
cambo,cam,bo
cambra,cam,bra
cambrão,cam,brão
cambrar,cam,brar
cambras,cam,bras
came,ca,me
camim,ca,mim
campa,cam,pa
campa,cam,pa
campal,cam,pal
campão,cam,pão
campar,cam,par
camping,cam,ping
campir,cam,pir
campo,cam,po
campus,cam,pus
cana,ca,na
canal,ca,nal
canaz,ca,naz
cancã,can,cã
cancã,can,cã
canção,can,ção
cancão,can,cão
câncer,cân,cer
cancha,can,cha
canchal,can,chal
canchim,can,chim
cancleu,can,cleu
cancleu,can,cleu
canço,can,ço
cancra,can,cra
cancro,can,cro
cande,can,de
cândi,cân,di
cândi,cân,di
cândil,cân,dil
candil,can,dil
cando,can,do
candor,can,dor
canga,can,ga
cangá,can,gá
cangar,can,gar
cango,can,go
cangue,can,gue
canha,ca,nha
canhão,ca,nhão
canhar,ca,nhar
canhim,ca,nhim
canho,ca,nho
canho,ca,nho
canhos,ca,nhos
canil,ca,nil
canja,can,ja
canjar,can,jar
cânjar,cân,jar
cano,ca,no
cano,ca,no
cânon,câ,non
cansar,can,sar
cantão,can,tão
cantar,can,tar
cantar,can,tar
canté,can,té
cantés,can,tés
cantil,can,til
canto,can,to
cantor,can,tor
cantor,can,tor
canvi,can,vi
canzá,can,zá
canzar,can,zar
canzil,can,zil
cão de guarda,cãodeguar,da
caol,ca,ol
caoutchouc,caou,tchouc
capa,ca,pa
capa,ca,pa
capão,ca,pão
capão,ca,pão
capar,ca,par
capaz,ca,paz
capim,ca,pim
capô,ca,pô
capot,ca,pot
caprim,ca,prim
capro,ca,pro
caprum,ca,prum
captar,cap,tar
captor,cap,tor
captor,cap,tor
capuz,ca,puz
caqueu,ca,queu
caqui,ca,qui
caqui,ca,qui
cáqui,cá,qui
cará,ca,rá
cara,ca,ra
cara,ca,ra
cara de pau,ca,ra depau
carão,ca,rão
carcão,car,cão
carcás,car,cás
carcel,car,cel
carcha,car,cha
carda,car,da
cardal,car,dal
cardão,car,dão
cardar,car,dar
cardim,car,dim
cardo,car,do
cardo,car,do
carga,car,ga
cargo,car,go
caril,ca,ril
cariz,ca,riz
carma,car,ma
carme,car,me
cármen,cár,men
carmim,car,mim
carmim,car,mim
carna,car,na
carna,car,na
carna,car,na
carnal,car,nal
carnal,car,nal
carnar,car,nar
carnaz,car,naz
carne,car,ne
carné,car,né
carnê,car,nê
carne de sol,car,ne desol
carnet,car,net
carno,car,no
carno,car,no
caro,ca,ro
caro,ca,ro
caro,ca,ro
caró,ca,ró
carpa,car,pa
carpal,car,pal
carpar,car,par
carpim,car,pim
carpir,car,pir
carpo,car,po
carptor,carp,tor
carral,car,ral
carrão,car,rão
carrar,car,rar
carré,car,ré
carrê,car,rê
carril,car,ril
carro,car,ro
carta,car,ta
cartão,car,tão
cartar,car,tar
cartaz,car,taz
carte,car,te
cartel,car,tel
cárter,cár,ter
carteu,car,teu
carteu,car,teu
cartoon,car,toon
cartum,car,tum
cárus,cá,rus
carus,ca,rus
carvão,car,vão
carviz,car,viz
casa,ca,sa
casal,ca,sal
casão,ca,são
casar,ca,sar
casbá,cas,bá
casca,cas,ca
casca,cas,ca
casca,cas,ca
casca de noz,cas,ca denoz
cascal,cas,cal
cascão,cas,cão
cascar,cas,car
casco,cas,co
cascol,cas,col
cash-flow,cash,flow
cási,cá,si
caso,ca,so
caso,ca,so
caspa,cas,pa
cassa,cas,sa
cassar,cas,sar
casse,cas,se
cássis,cás,sis
casso,cas,so
casso,cas,so
casta,cas,ta
castão,cas,tão
casting,cas,ting
casto,cas,to
castor,cas,tor
castra,cas,tra
castrar,cas,trar
castro,cas,tro
cata,ca,ta
catão,ca,tão
catar,ca,tar
catar,ca,tar
catau,ca,tau
cate,ca,te
catgut,cat,gut
catle,ca,tle
cato,ca,to
cato,ca,to
catre,ca,tre
catur,ca,tur
cauã,cau,ã
cauã,cau,ã
caução,cau,ção
cauchal,cau,chal
caucho,cau,cho
cauchu,cau,chu
cauco,cau,co
cauco,cau,co
cauda,cau,da
caudal,cau,dal
caudal,cau,dal
caudel,cau,del
cáudex,cáu,dex
cauim,cau,im
caule,cau,le
caulim,cau,lim
caumã,cau,mã
cauri,cau,ri
causa,cau,sa
causal,cau,sal
causal,cau,sal
causar,cau,sar
cautchu,caut,chu
cauto,cau,to
cava,ca,va
cavão,ca,vão
cavar,ca,var
cave,ca,ve
cavo,ca,vo
caxa,ca,xa
caxão,ca,xão
caxe,ca,xe
caxim,ca,xim
caxo,ca,xo
cazu,ca,zu
cear,ce,ar
cebo,ce,bo
cecal,ce,cal
cecé,ce,cé
cecém,ce,cém
ceco,ce,co
cécum,cé,cum
ceda,ce,da
ceder,ce,der
cedi,ce,di
cedo,ce,do
cedo,ce,do
cédrão,cé,drão
cedro,ce,dro
cefo,ce,fo
cega,ce,ga
cegar,ce,gar
cegas,ce,gas
cego,ce,go
cego,ce,go
ceia,cei,a
ceifa,cei,fa
ceifão,cei,fão
ceifar,cei,far
ceifões,cei,fões
ceita,cei,ta
ceitil,cei,til
ceiva,cei,va
ceivar,cei,var
ceive,cei,ve
cela,ce,la
celga,cel,ga
celha,ce,lha
celhas,ce,lhas
celo,ce,lo
celsius,cel,sius
celso,cel,so
celta,cel,ta
celta,cel,ta
celta,cel,ta
celte,cel,te
cembro,cem,bro
cempso,cemp,so
cempso,cemp,so
cena,ce,na
cencê,cen,cê
cendal,cen,dal
cendrar,cen,drar
cengo,cen,go
cenho,ce,nho
ceno,ce,no
censo,cen,so
censor,cen,sor
centão,cen,tão
centil,cen,til
cento,cen,to
cento,cen,to
central,cen,tral
central,cen,tral
central,cen,tral
centrar,cen,trar
centro,cen,tro
cepa,ce,pa
cepo,ce,po
cequim,ce,quim
cera,ce,ra
cerar,ce,rar
cerca,cer,ca
cerca,cer,ca
cercal,cer,cal
cercão,cer,cão
cercar,cer,car
cerce,cer,ce
cerce,cer,ce
cerco,cer,co
cerda,cer,da
cerdão,cer,dão
cerdas,cer,das
cerdo,cer,do
cernar,cer,nar
cerne,cer,ne
cerne,cer,ne
cernir,cer,nir
cerol,ce,rol
cerrar,cer,rar
cerro,cer,ro
certa,cer,ta
certar,cer,tar
certo,cer,to
certo,cer,to
certo,cer,to
certo,cer,to
cerva,cer,va
cerval,cer,val
cérvix,cér,vix
cerviz,cer,viz
cervo,cer,vo
cervum,cer,vum
cerzir,cer,zir
césar,cé,sar
cêssa,cês,sa
cessão,ces,são
cessar,ces,sar
cesta,ces,ta
cestão,ces,tão
cesto,ces,to
cestro,ces,tro
cetim,ce,tim
ceto,ce,to
cetra,ce,tra
cetras,ce,tras
cetro,ce,tro
céu da boca,céudabo,ca
ceva,ce,va
cevão,ce,vão
cevar,ce,var
cevo,ce,vo
chabéu,cha,béu
chabu,cha,bu
chaça,cha,ça
chacal,cha,cal
chaçar,cha,çar
chacha,cha,cha
chacim,cha,cim
chaço,cha,ço
chacoi,cha,coi
chacra,cha,cra
chada,cha,da
chaga,cha,ga
chaga,cha,ga
chaga,cha,ga
chagar,cha,gar
chagaz,cha,gaz
chagrém,cha,grém
chagrim,cha,grim
chaira,chai,ra
chaira,chai,ra
chairar,chai,rar
chairman,chair,man
chalão,cha,lão
chalar,cha,lar
chalé,cha,lé
chalrão,chal,rão
chalrar,chal,rar
chama,cha,ma
chamar,cha,mar
chambã,cham,bã
chambão,cham,bão
chambão,cham,bão
chambas,cham,bas
chambo,cham,bo
chambre,cham,bre
chamo,cha,mo
champá,cham,pá
champá,cham,pá
champa,cham,pa
champá,cham,pá
champe,cham,pe
champil,cham,pil
champô,cham,pô
champó,cham,pó
chana,cha,na
chança,chan,ça
chanca,chan,ca
chance,chan,ce
chanchã,chan,chã
chanço,chan,ço
chanfrar,chan,frar
chanfro,chan,fro
changa,chan,ga
changar,chan,gar
changui,chan,gui
chanta,chan,ta
chantão,chan,tão
chantar,chan,tar
chantel,chan,tel
chantre,chan,tre
chapa,cha,pa
chapa,cha,pa
chapar,cha,par
chape,cha,pe
chape,cha,pe
chapéu,cha,péu
chapéu de sol,cha,péudesol
chapim,cha,pim
chapo,cha,po
chaprão,cha,prão
chapuz,cha,puz
chaquéu,cha,quéu
chara,cha,ra
charão,cha,rão
charca,char,ca
charco,char,co
charge,char,ge
charla,char,la
charlar,char,lar
charme,char,me
charpa,char,pa
charque,char,que
charreu,char,reu
charro,char,ro
charro,char,ro
chárter,chár,ter
charter,char,ter
chasca,chas,ca
chascão,chas,cão
chascar,chas,car
chasco,chas,co
chaspa,chas,pa
chasque,chas,que
chassi,chas,si
chassis,chas,sis
chata,cha,ta
chatim,cha,tim
chato,cha,to
chato,cha,to
chau-chau,chau,chau
chau-min,chau,min
chaudel,chau,del
chauffeur,chauf,feur
chavão,cha,vão
chave,cha,ve
chavo,cha,vo
chebê,che,bê
checa,che,ca
checa,che,ca
check-in,check,in
check-up,check,up
checkout,chec,kout
checkpoint,check,point
checo,che,co
checo,che,co
cheda,che,da
chedas,che,das
cheddar,ched,dar
chede,che,de
chedre,che,dre
chefão,che,fão
chefão,che,fão
chefe,che,fe
chefe,che,fe
chega,che,ga
chega,che,ga
chegar,che,gar
chego,che,go
cheia,chei,a
cheide,chei,de
cheio,chei,o
cheio,chei,o
cheira,chei,ra
cheira,chei,ra
cheirar,chei,rar
cheiro,chei,ro
cheirum,chei,rum
chela,che,la
chela,che,la
cheldra,chel,dra
chelpa,chel,pa
chena,che,na
cheque,che,que
cheque,che,que
cheque,che,que
cherna,cher,na
cherne,cher,ne
cherry,cher,ry
cherte,cher,te
cherva,cher,va
cheta,che,ta
chia,chi,a
chião,chi,ão
chiar,chi,ar
chiba,chi,ba
chibar,chi,bar
chibé,chi,bé
chibéu,chi,béu
chibi,chi,bi
chibo,chi,bo
chica,chi,ca
chiça,chi,ça
chicha,chi,cha
chichá,chi,chá
chichar,chi,char
chiche,chi,che
chichi,chi,chi
chicho,chi,cho
chicle,chi,cle
chico,chi,co
chico,chi,co
chiço,chi,ço
chiffon,chif,fon
chifom,chi,fom
chifra,chi,fra
chifrar,chi,frar
chifre,chi,fre
chila,chi,la
chile,chi,le
chili,chi,li
chilrão,chil,rão
chilrar,chil,rar
chilre,chil,re
chilro,chil,ro
chilro,chil,ro
chima,chi,ma
chimpar,chim,par
china,chi,na
china,chi,na
chinar,chi,nar
chinca,chin,ca
chincar,chin,car
chincha,chin,cha
chinchão,chin,chão
chinche,chin,che
chincho,chin,cho
chincra,chin,cra
chinês,chi,nês
chinês,chi,nês
chinfra,chin,fra
chinfrão,chin,frão
chinfrar,chin,frar
chinfrim,chin,frim
chinfrim,chin,frim
chingar,chin,gar
chingo,chin,go
chingue,chin,gue
chino,chi,no
chino,chi,no
chinó,chi,nó
chinque,chin,que
chio,chi,o
chipe,chi,pe
chipo,chi,po
chique,chi,que
chique,chi,que
chiquel,chi,quel
chirca,chir,ca
chircal,chir,cal
chiru,chi,ru
chiru,chi,ru
chisca,chis,ca
chiscar,chis,car
chisco,chis,co
chisme,chis,me
chisnar,chis,nar
chispa,chis,pa
chispar,chis,par
chispe,chis,pe
chiste,chis,te
chita,chi,ta
chitão,chi,tão
chitom,chi,tom
choça,cho,ça
choca,cho,ca
chocão,cho,cão
chocar,cho,car
chochar,cho,char
chocho,cho,cho
chocho,cho,cho
choço,cho,ço
choco,cho,co
choco,cho,co
chofer,cho,fer
chofer,cho,fer
chofrar,cho,frar
chofre,cho,fre
choina,choi,na
choisa,choi,sa
chola,cho,la
choldra,chol,dra
cholo,cho,lo
chona,cho,na
chona,cho,na
chona,cho,na
chonão,cho,não
chonar,cho,nar
choné,cho,né
chope,cho,pe
chope,cho,pe
chope,cho,pe
choque,cho,que
chora,cho,ra
chora,cho,ra
chorão,cho,rão
chorão,cho,rão
chorar,cho,rar
choro,cho,ro
chorrar,chor,rar
chorro,chor,ro
choucha,chou,cha
choupa,chou,pa
choupal,chou,pal
choupar,chou,par
choupo,chou,po
choura,chou,ra
chousa,chou,sa
chousal,chou,sal
chousar,chou,sar
chouso,chou,so
choussa,chous,sa
choussar,chous,sar
choutão,chou,tão
choutar,chou,tar
chouto,chou,to
chovar,cho,var
chover,cho,ver
chuca,chu,ca
chuçar,chu,çar
chucha,chu,cha
chuchar,chu,char
chucho,chu,cho
chuchu,chu,chu
chuchu,chu,chu
chuço,chu,ço
chuco,chu,co
chué,chu,é
chufa,chu,fa
chufar,chu,far
chula,chu,la
chulé,chu,lé
chulo,chu,lo
chulo,chu,lo
chumbar,chum,bar
chumbo,chum,bo
chuna,chu,na
chunga,chun,ga
chupa,chu,pa
chupa,chu,pa
chupão,chu,pão
chupão,chu,pão
chupar,chu,par
chupim,chu,pim
chupo,chu,po
churdo,chur,do
churdo,chur,do
churreu,chur,reu
churro,chur,ro
churro,chur,ro
chusma,chus,ma
chusmar,chus,mar
chuta,chu,ta
chutar,chu,tar
chute,chu,te
chutney,chut,ney
chuto,chu,to
chuva,chu,va
chuvão,chu,vão
cia,ci,a
cião,ci,ão
ciar,ci,ar
cibar,ci,bar
cibe,ci,be
cibo,ci,bo
cica,ci,ca
ciclo,ci,clo
cide,ci,de
cidra,ci,dra
cidral,ci,dral
cidrão,ci,drão
cifa,ci,fa
cifar,ci,far
cifo,ci,fo
cifra,ci,fra
cifrão,ci,frão
cifrar,ci,frar
cila,ci,la
cileu,ci,leu
cilha,ci,lha
cilhão,ci,lhão
cilhão,ci,lhão
cilhar,ci,lhar
cima,ci,ma
cimba,cim,ba
cimbre,cim,bre
cimbro,cim,bro
cimbro,cim,bro
cimeu,ci,meu
cimo,ci,mo
cina,ci,na
cinca,cin,ca
cincar,cin,car
cincha,cin,cha
cinchão,cin,chão
cinchar,cin,char
cincho,cin,cho
cinclo,cin,clo
cinco,cin,co
cinco,cin,co
cinco,cin,co
cindir,cin,dir
cine,ci,ne
cingel,cin,gel
cingir,cin,gir
cinor,ci,nor
cinta,cin,ta
cintar,cin,tar
cintel,cin,tel
cinto,cin,to
cinza,cin,za
cinza,cin,za
cinza,cin,za
cinzal,cin,zal
cinzar,cin,zar
cinzel,cin,zel
cio,ci,o
cipo,ci,po
cipó,ci,pó
circo,cir,co
ciro,ci,ro
ciro,ci,ro
cirpo,cir,po
cirro,cir,ro
cisão,ci,são
cisar,ci,sar
cisca,cis,ca
ciscar,cis,car
cisco,cis,co
cisel,ci,sel
cisma,cis,ma
cisma,cis,ma
cismar,cis,mar
cismar,cis,mar
cisne,cis,ne
cissão,cis,são
cisso,cis,so
cisso,cis,so
cista,cis,ta
cisto,cis,to
cita,ci,ta
cita,ci,ta
cita,ci,ta
citar,ci,tar
cite,ci,te
citeu,ci,teu
citeu,ci,teu
cito,ci,to
citral,ci,tral
citro,ci,tro
ciumar,ciu,mar
cível,cí,vel
cível,cí,vel
civil,ci,vil
civil,ci,vil
clá-clá,clá,clá
clade,cla,de
claimo,clai,mo
clamar,cla,mar
clamor,cla,mor
clandô,clan,dô
clangor,clan,gor
claque,cla,que
claque,cla,que
clara,cla,ra
clarão,cla,rão
clarim,cla,rim
clarke,clar,ke
claro,cla,ro
claro,cla,ro
claro,cla,ro
classe,clas,se
clasto,clas,to
claustra,claus,tra
claustral,claus,tral
claustral,claus,tral
claustrar,claus,trar
claustro,claus,tro
clava,cla,va
clave,cla,ve
cláxon,clá,xon
clear,cle,ar
clearing,clea,ring
clefta,clef,ta
clero,cle,ro
cletra,cle,tra
clicar,cli,car
cliché,cli,ché
clichê,cli,chê
clima,cli,ma
clímax,clí,max
clina,cli,na
clipboard,clip,board
clipe,cli,pe
clíper,clí,per
clipper,clip,per
clique,cli,que
clique,cli,que
clique,cli,que
clise,cli,se
clister,clis,ter
clistrão,clis,trão
clita,cli,ta
clita,cli,ta
clita,cli,ta
clivar,cli,var
clivo,cli,vo
clonar,clo,nar
clone,clo,ne
clono,clo,no
cloral,clo,ral
clorar,clo,rar
cloro,clo,ro
clube,clu,be
clundo,clun,do
cluster,clus,ter
cnico,cni,co
cnute,cnu,te
coa,co,a
coar,co,ar
coba,co,ba
cobói,co,bói
cobol,co,bol
cobra,co,bra
cobrão,co,brão
cobrar,co,brar
cobre,co,bre
cobril,co,bril
cobrir,co,brir
cobro,co,bro
coca,co,ca
coça,co,ça
coca,co,ca
coçá,co,çá
cocal,co,cal
cocão,co,cão
cocar,co,car
cocar,co,car
coçar,co,çar
cocção,coc,ção
cóccix,cóc,cix
cocha,co,cha
cochar,co,char
coche,co,che
coche,co,che
cóchi,có,chi
cochir,co,chir
cocho,co,cho
cocker,coc,ker
cockpit,cock,pit
cocktail,cock,tail
coco,co,co
cocô,co,cô
cocó,co,có
cocó,co,có
cocó,co,có
cocre,co,cre
cocto,coc,to
coda,co,da
coda,co,da
códão,có,dão
codão,co,dão
codé,co,dé
codé,co,dé
códex,có,dex
codo,co,do
cofe,co,fe
cofo,co,fo
cofre,co,fre
coia,coi,a
coibir,coi,bir
coição,coi,ção
coice,coi,ce
coifa,coi,fa
coifar,coi,far
coigual,coi,gual
coim,co,im
coima,coi,ma
coimar,coi,mar
coina,coi,na
coinar,coi,nar
coino,coi,no
coio,coi,o
coió,coi,ó
coio,coi,o
coira,coi,ra
coirão,coi,rão
coiro,coi,ro
coisa,coi,sa
coisar,coi,sar
coiso,coi,so
coiso,coi,so
coita,coi,ta
coitar,coi,tar
coité,coi,té
coito,coi,to
coito,coi,to
cola,co,la
cola,co,la
colã,co,lã
colar,co,lar
colar,co,lar
colãs,co,lãs
colau,co,lau
colcha,col,cha
colchão,col,chão
colco,col,co
colco,col,co
coldre,col,dre
colgar,col,gar
colha,co,lha
colhão,co,lhão
colher,co,lher
colher,co,lher
cóli,có,li
collants,col,lants
colmar,col,mar
colmar,col,mar
colmo,col,mo
colo,co,lo
colón,co,lón
cólon,có,lon
colon,co,lon
color,co,lor
coltar,col,tar
colza,col,za
coma,co,ma
coma,co,ma
comas,co,mas
comba,com,ba
comba,com,ba
combo,com,bo
combói,com,bói
combro,com,bro
comer,co,mer
comer,co,mer
comes,co,mes
como,co,mo
como,co,mo
como,co,mo
cômpar,côm,par
compère,com,père
complô,com,plô
complot,com,plot
compor,com,por
compra,com,pra
comprar,com,prar
compso,comp,so
comum,co,mum
comum,co,mum
comuns,co,muns
cona,co,na
conca,con,ca
concha,con,cha
conchar,con,char
conchar,con,char
concho,con,cho
concho,con,cho
concom,con,com
condal,con,dal
condão,con,dão
conde,con,de
condir,con,dir
condor,con,dor
condral,con,dral
condro,con,dro
cone,co,ne
confim,con,fim
confim,con,fim
confins,con,fins
confrei,con,frei
conga,con,ga
congo,con,go
congro,con,gro
conguês,con,guês
conguês,con,guês
conha,co,nha
conho,co,nho
conquém,con,quém
conquir,con,quir
consta,cons,ta
constar,cons,tar
cônsul,côn,sul
conta,con,ta
contar,con,tar
conter,con,ter
conto,con,to
contra,con,tra
contra,con,tra
contra,con,tra
contro,con,tro
contro,con,tro
convés,con,vés
convir,con,vir
coo,co,o
coo,co,o
cookie,coo,kie
copa,co,pa
copa,co,pa
copal,co,pal
copal,co,pal
copar,co,par
copé,co,pé
copel,co,pel
copla,co,pla
copo,co,po
copra,co,pra
copta,cop,ta
copta,cop,ta
copta,cop,ta
copto,cop,to
copto,cop,to
coque,co,que
cor de rosa,cordero,sa
cor de rosa,cor dero,sa
cor de vinho,cor devi,nho
cor de vinho,cor devi,nho
corá,co,rá
cora,co,ra
cora,co,ra
coral,co,ral
coral,co,ral
coral,co,ral
corar,co,rar
corça,cor,ça
corca,cor,ca
corcar,cor,car
corcel,cor,cel
corcha,cor,cha
corcho,cor,cho
corço,cor,ço
corda,cor,da
cordal,cor,dal
cordão,cor,dão
cordel,cor,del
cordo,cor,do
coré,co,ré
coreu,co,reu
coreu,co,reu
corga,cor,ga
corgo,cor,go
cori,co,ri
corja,cor,ja
cormo,cor,mo
corna,cor,na
cornal,cor,nal
cornar,cor,nar
corne,cor,ne
corno,cor,no
corno,cor,no
coro,co,ro
corpo,cor,po
corpus,cor,pus
corra,cor,ra
corré,cor,ré
corre,cor,re
correr,cor,rer
corréu,cor,réu
corréu,cor,réu
corro,cor,ro
corsa,cor,sa
corso,cor,so
corso,cor,so
corta,cor,ta
cortar,cor,tar
corte,cor,te
corte,cor,te
cortês,cor,tês
córtex,cór,tex
corva,cor,va
corvéu,cor,véu
corvo,cor,vo
cosco,cos,co
coscós,cos,cós
coser,co,ser
cosmo,cos,mo
cosmos,cos,mos
cossa,cos,sa
cossa,cos,sa
cosso,cos,so
costa,cos,ta
costal,cos,tal
costal,cos,tal
costo,cos,to
cota,co,ta
cota,co,ta
cotão,co,tão
cotar,co,tar
cote,co,te
cotim,co,tim
cotó,co,tó
coto,co,to
coto,co,to
cotom,co,tom
cotra,co,tra
cotrim,co,trim
coucão,cou,cão
couce,cou,ce
couché,cou,ché
coucil,cou,cil
coudel,cou,del
coulau,cou,lau
coulomb,cou,lomb
country,coun,try
coupé,cou,pé
coupon,cou,pon
coura,cou,ra
courão,cou,rão
couro,cou,ro
cousa,cou,sa
cousar,cou,sar
couscous,cous,cous
couso,cou,so
cousso,cous,so
coutar,cou,tar
couto,cou,to
couval,cou,val
couve,cou,ve
couvert,cou,vert
cova,co,va
coval,co,val
covão,co,vão
côvão,cô,vão
cover,co,ver
covil,co,vil
covo,co,vo
covo,co,vo
cowboy,cow,boy
coxa,co,xa
coxal,co,xal
coxal,co,xal
coxão,co,xão
coxé,co,xé
coxim,co,xim
coxo,co,xo
coxo,co,xo
cozer,co,zer
crabro,cra,bro
craca,cra,ca
crachá,cra,chá
crache,cra,che
craião,crai,ão
cramar,cra,mar
crambe,cram,be
cranque,cran,que
crapaud,cra,paud
crapô,cra,pô
craque,cra,que
craque,cra,que
crás-crás,crás,crás
crase,cra,se
crasso,cras,so
crasta,cras,ta
crasto,cras,to
cratão,cra,tão
crato,cra,to
crauçá,crau,çá
crava,cra,va
crava,cra,va
cravar,cra,var
cravo,cra,vo
crayon,cray,on
crebro,cre,bro
creche,cre,che
crecheu,cre,cheu
credo,cre,do
credo,cre,do
credor,cre,dor
credor,cre,dor
creiom,crei,om
cremar,cre,mar
creme,cre,me
creme,cre,me
cremor,cre,mor
crena,cre,na
crenar,cre,nar
crença,cren,ça
crenchas,cren,chas
crente,cren,te
crente,cren,te
crente,cren,te
crepe,cre,pe
crepins,cre,pins
crepom,cre,pom
crepom,cre,pom
crépon,cré,pon
crescer,cres,cer
creso,cre,so
cresol,cre,sol
crespão,cres,pão
crespar,cres,par
crespir,cres,pir
crespo,cres,po
crespo,cres,po
cresta,cres,ta
crestão,cres,tão
crestar,cres,tar
cresto,cres,to
creta,cre,ta
cretcheu,cret,cheu
cretcheu,cret,cheu
creve,cre,ve
cria,cri,a
criar,cri,ar
crica,cri,ca
cricket,cric,ket
cricri,cri,cri
crido,cri,do
crila,cri,la
crime,cri,me
crime,cri,me
crina,cri,na
crinal,cri,nal
crinal,cri,nal
crino,cri,no
criol,cri,ol
criol,cri,ol
cripta,crip,ta
cripto,crip,to
crípton,críp,ton
crise,cri,se
crisma,cris,ma
crisma,cris,ma
crismal,cris,mal
crismar,cris,mar
crisol,cri,sol
crispar,cris,par
crista,cris,ta
cristã,cris,tã
cristal,cris,tal
cristão,cris,tão
cristão,cris,tão
cristel,cris,tel
cristo,cris,to
criva,cri,va
crivar,cri,var
crível,crí,vel
crivo,cri,vo
crixá,cri,xá
crixá,cri,xá
croá,cro,á
croça,cro,ça
croca,cro,ca
crocal,cro,cal
crochê,cro,chê
croché,cro,ché
crochet,cro,chet
croco,cro,co
croia,croi,a
croio,croi,o
croissant,crois,sant
croma,cro,ma
cromar,cro,mar
cromel,cro,mel
cromo,cro,mo
cronha,cro,nha
crono,cro,no
croque,cro,que
croquet,cro,quet
croqui,cro,qui
croquis,cro,quis
crosse,cros,se
crosta,cros,ta
crosto,cros,to
crotão,cro,tão
cróton,cró,ton
croupier,crou,pier
crude,cru,de
cruel,cru,el
cruga,cru,ga
cruor,cru,or
crupal,cru,pal
crupe,cru,pe
crural,cru,ral
crusta,crus,ta
cruzar,cru,zar
cruzes,cru,zes
cruzes,cru,zes
cuba,cu,ba
cuba,cu,ba
cubar,cu,bar
cubi,cu,bi
cubo,cu,bo
cuca,cu,ca
cuca,cu,ca
cuca,cu,ca
cucar,cu,car
cuche,cu,che
cuchê,cu,chê
cuci,cu,ci
cuco,cu,co
cudar,cu,dar
cudo,cu,do
cuguar,cu,guar
cuí,cu,í
cuia,cui,a
cuidar,cui,dar
cuido,cui,do
cuilar,cui,lar
cuim,cu,im
cuité,cui,té
cuitê,cui,tê
cuité,cui,té
cuiú,cui,ú
cujo,cu,jo
culcar,cul,car
